C0,C1,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
AQP7,FAM72D,GDF15,C5orf17,KRT81,CPSF6,C21orf88,AC010226.4,RP11-192H23.4,RP11-689B22.2,OTOP3,SERPINB3,HIST1H1B
LIPC,CENPA,FN1,DDTL,ZNF367,MRPS2,TDRD1,CTB-129O4.1,HLA-DQA2,DMGDH,MYOM1,TCN1,HIST1H2AL
HSD3B2,PLK1,PYY,ARHGDIG,RMI2,DYNC1LI2,SPINK5,CCNE2,CTB-152G17.6,CTB-50L17.16,OTOP2,CCL18,HIST1H2AJ
TMIGD1,CDC20,EREG,ZNF17,MCM7,PRMT2,C3orf70,CDC45,RP5-1092A3.4,POU3F1,BEST4,KLK6,HIST1H3D
CELA3B,CCNB1,HOXD13,RP4-610C12.3,GINS2,PFDN1,RASL11A,GINS2,MTRNR2L3,RP11-326C3.2,FGF13,SERPINB7,HIST1H1D
C11orf86,KIF20A,CXCL2,SNX15,TK1,CDC42SE2,ZFPM1,CTD-2541M15.1,RP11-162G10.5,PYGM,LRRC32,FDCSP,HIST1H3B
AQP8,PSRC1,CTGF,SOSTDC1,RRM2,STAU1,RRP36,PKMYT1,HLA-DRB5,RP5-894A10.2,CASC18,KLK7,HIST1H2AI
SLC51A,KPNA2,B3GNT7,RPL10L,CENPM,MED28,HOXB13,AC002116.7,SNX22,7SK-ENSG00000260682,REN,LY6D,HIST1H2BO
SLC26A3,CCNA2,ATF3,CRYBB2,ZWINT,MPDU1,FAM21C,MCM5,PLEKHF1,U73166.2,RHCG,KRT6A,HIST1H3I
HRASLS2,CEP55,EGR2,RP13-753N3.1,TYMS,TIPRL,RP11-841O20.2,CHAF1B,ANGPT2,CHRNA7,RP11-1151B14.4,SCEL,HIST1H4D
CTC-490G23.2,PTTG1,RRAD,RP11-672L10.6,PBK,,ST6GALNAC2,RAD54B,STARD4-AS1,CTD-2562J15.6,MSLN,CXCL6,HIST1H3C
CIDEC,BUB1,HOXD11,C17orf49,MAD2L1,,CLDN8,RMI2,RP11-471M2.3,MAFB,CA7,CXCL13,HIST1H2AH
CBS,DLGAP5,SLC28A2,RNASE4,,,TAF10,FEN1,LZTS3,RP11-20I23.8,PCSK1N,MXRA5,HIST1H1E
