C0,C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
FUNDC2,TK1,RP11-519G16.5,CENPA,REG4,IGJ,B3GNT7,REG1B,URAD,SLC26A2,MMP7,TK1,TMIGD1,SLC51B,OTOP2,CLDN8,MZB1,KRT17,SUSD3
TBRG4,CENPM,ADCK3,PLK1,TFF1,FOSB,SPINK5,REG3A,DHRS4,SLC51B,SAA2,GINS2,GUCA2B,MS4A12,BEST4,ST6GALNAC6,IGHG3,CALB2,SH2D1A
TMEM11,CDK1,PITX2,TOP2A,PI3,NEAT1,HOXB13,DEFA5,DDC,SLC22A18AS,SAA1,CENPM,AQP8,SLC26A2,NEURL,SLC26A2,IGKC,RP5-1126H10.2,CD3E
SHARPIN,CCNB1,DHRS4,CCNA2,TIMP1,NR4A1,MARCKS,DEFA6,IFITM1,C2orf88,DUOXA2,ASF1B,CEACAM7,SLC22A18AS,HEPACAM2,CDKN2B-AS1,IGHG2,TFAP2A,CD53
KXD1,PBK,NOB1,AURKB,SERPINB5,IGKC,CHP1,HLA-DPA1,RP11-519G16.5,,TFF1,FEN1,MS4A12,C2orf88,SPIB,C21orf88,IGLC2,MMP1,PPP1R18
MEA1,CDC20,EIF2D,NUSAP1,SEPP1,MIR24-2,CDKL2,LYZ,CCDC47,,PI3,RFC2,LYPD8,SULT1A1,CA7,SPINK5,IGHG1,LINC00520,RHOH
AFG3L2,ZBTB8OS,UGT2A3,BIRC5,PSAT1,EGR1,BRI3,HLA-DPB1,NME1-NME2,,CEACAM6,MCM7,SEPP1,CDKN2B,LYPD8,SULT1B1,IGJ,RP11-65J3.1,TBC1D10C
MRPS30,NUDT1,,CCNB2,SPINK4,ATF3,MT1A,SAA1,ALG3,,TIMP1,WDR34,CA4,PPARG,CA4,GLDN,LGALS1,GJB4,CD2
PEF1,CDKN3,,CDKN3,RP1-17K7.2,HSPA1A,RP11-789C1.1,HLA-DQB1,GSS,,DUOX2,MLF1IP,CEACAM1,ETNK1,PCSK1N,MT1H,IGLC7,PMP22,LCP1
FBXL15,NUSAP1,,CDC20,SLITRK4,PPP1R15A,BCL9,HLA-DRB5,UGT2A3,,REG4,ZWINT,HPGD,MGLL,MYOM1,MARCKS,IGLC3,CNN2,CD48
GORASP2,GINS2,,CCNB1,SPINK5,SLC12A2,GOLIM4,HLA-DMA,IFT57,,SERPINA1,RRM1,ABCG2,PRR15,MSLN,FABP2,IGHM,AREGB,ABI3
PRPF40A,MAD2L1,,CDK1,GCG,HSPA1B,CTTN,CXCL3,EIF5AL1,,ANXA1,TYMS,RP11-48O20.4,CASP7,HES4,B3GNT7,CD79A,AADAC,ANXA6
NIT2,,,KPNA2,MUC2,HNRNPH1,CDC42EP5,DUOXA2,TRAP1,,LYZ,RFC4,SLC51B,HRCT1,NOTCH2NL,HOXB13,LUM,MDFI,WIPF1
GABARAP,,,UBE2C,ANXA3,IGHA2,HOXD11,CXCL1,CTC-524C5.2,,CXCL1,CDC45,CDKN2B-AS1,ANPEP,CEACAM3,BRI3,NEAT1,ANXA10,DOK2
ELAVL1,,,PTTG1,CRNDE,SIK1,TATDN1,SPINK4,QDPR,,CD55,CDT1,SULT1A2,GCNT3,OTOP3,CHP1,IGHG4,HMCN2,GPR183
VKORC1,,,PBK,CEACAM6,KCNQ1OT1,ST6GALNAC6,DMBT1,GSTA1,,RARRES3,UBE2T,C2orf88,LINC00483,CTSE,DSC2,IGHA2,AJUBA,TRAF3IP3
PRPF38A,,,CENPW,CXCL14,MDM4,CFTR,CCL20,PLA2G12A,,KLK10,SHMT1,C11orf86,GPT,MT1H,FAM3C,IGLV6-57,LETM2,SIT1
FAM200B,,,CDCA3,KDELR3,XIST,TSPYL1,ITLN1,SNHG7,,C4BPB,RNASEH2A,PRAP1,LDHD,SCIN,PADI2,PRDM1,FOSL1,CD247
RBCK1,,,KNSTRN,GJB5,MAFF,SNORA76,S100A9,NUCB1,,STOM,RRM2,HIST1H1C,TP53I3,HRCT1,PLA2G10,ANKRD28,SERPINB3,GYPC
WIBG,,,CENPF,ANXA1,EGR2,CAMK2N1,UBD,MRPS28,,HLA-DPA1,LIG1,EMP1,SLC51A,MEIS1,IQGAP2,SRGN,ANXA1,CYTIP
AMD1,,,MAD2L1,IL1RN,CCDC14,CECR1,MMP12,SLC25A4,,TM4SF1,MCM3,DHRS9,MS4A8,C2orf54,CAMK2N1,JUND,TM4SF1,LIMD2
FAM32A,,,HMMR,PHGDH,SOX4,MTRNR2L12,RAMP1,EPHX1,,SLC6A14,RAD51,CDA,DHRS9,GUCA2B,GOLIM4,IGLL1,CDH3,CD37
ATXN10,,,MKI67,KCNJ3,BTG2,CTTNBP2,BST2,CWH43,,TM4SF20,DNAJC9,APPL2,C1orf210,GSN,TSPYL1,HSPA6,LINC00665,PTPRC
RRP7A,,,DLGAP5,DEFA5,RHOB,CD2AP,TIMP1,MRPS9,,GPRC5A,MAD2L1,SLC51A,SULT1A2,MDK,ATP8B1,FOSB,DUSP4,LCK
ARMC10,,,NDC80,ZNF302,KLF6,GPR85,IGHG4,LPCAT3,,PLA2G16,CENPK,HRASLS2,HPGD,CEACAM6,DEFB1,RGS1,C4BPB,ITM2A
ECHDC2,,,NEK2,SLC25A37,IGHM,BROX,MTRNR2L1,CECR5,,HLA-DMA,PBK,NLN,OAS1,CDK18,RAB11FIP1,LY96,TNFRSF21,PCED1B-AS1
RP11-345J4.5,,,NUF2,DNAJC12,RNA28S5,CPNE3,CHGA,NCBP2-AS2,,GCNT3,MCM5,TMEM37,GDPD3,PROX1,SCGB2A1,COL1A2,AREG,HCLS1
VPS51,,,SMC4,GPM6A,HBEGF,TM9SF3,,SLC44A3,,HLA-DPB1,CDC6,OAS1,SLC9A3R1,HID1,CSTA,POSTN,CTD-2555C10.3,ACAP1
PBDC1,,,TPX2,AC074389.9,JUND,,,HSD17B8,,SERPINB5,CDK1,AQP7,HSD17B2,CCNYL1,APOBEC3C,SELM,NPSR1,CD27
TMUB1,,,SPC25,ME1,PER2,,,CCDC115,,IFI6,SLBP,TRIM31,METTL7B,CNTFR,RP1-278O22.1,CD27,AQP5,TRAC
BID,,,AURKA,FFAR4,PMAIP1,,,STEAP1,,MUC1,SNRNP25,ETNK1,MAPK3,NBPF10,PLEKHB2,EGR3,C11orf86,LSP1
SHD,,,PRC1,PITX1,SBF2,,,MACROD1,,CTSE,LMNB1,HHLA2,DEFB1,HSD17B2,LRRC19,VIM,KRT7,LAPTM5
TYMS,,,DTYMK,SDR16C5,LPIN3,,,ECSIT,,HLA-DRB5,NUDT1,CTC-490G23.2,PRAP1,SLC20A1,TTC37,HLA-DPB1,MYRFL,EVL
LLPH,,,FAM83D,ASNS,DNAJB1,,,MYC,,APOL1,RMI2,PRSS23,TSPAN7,UNC5C,CCL28,MIR155HG,SLC35C1,CXCR4
COPB2,,,GPSM2,PRSS22,HNRNPU-AS1,,,SNX2,,ERO1L,UNG,PDLIM2,NAT2,METTL21A,TSPAN6,TNFRSF17,AC005540.3,CD7
CENPN,,,RACGAP1,HOXB13,B3GNT7,,,CNDP2,,SLC40A1,DTYMK,SMPDL3A,PAPSS2,CTD-2319I12.1,PPP1CB,PCED1B-AS1,CIDEC,HCST
PDCL3,,,SPAG5,,GPR82,,,MRPL43,,SLC16A3,SMC4,GCNT3,LPCAT4,SAMHD1,HGD,CYSLTR1,PRSS22,GMFG
RPP25L,,,BUB1,,ADAMDEC1,,,ACSM3,,ASS1,RFC3,CLCA4,TMEM171,RHOV,CDC42EP5,FBLN1,IL1B,TRBC2
GPS1,,,KIFC1,,MCL1,,,HM13,,QSOX1,SPC25,HSD17B2,NR1H4,SAMD9L,HEBP2,C4orf26,WISP2,CD3D
