target,P12_1,P12_2,P12_3,P12_4,P12_5,P12_6,P12_7,P89_1,P89_2,P89_3,P89_4,P90_1,P90_2,P90_3,P99_1,P99_2,P99_3,P99_4,P99_5,P99_6
TSPAN6,2084,1650,1436,1458,1414,1621,1159,1412,1170,1234,994,1598,1502,1097,979,933,1270,1729,1728,1744
TNMD,19,13,27,22,10,27,16,12,6,8,5,3,2,0,1,1,2,0,1,3
DPM1,485,348,341,324,299,315,249,371,300,366,377,401,350,343,346,340,341,324,337,335
SCYL3,504,400,273,438,407,343,321,441,405,360,372,427,407,377,227,314,411,410,422,524
FIRRM,91,74,43,76,123,67,63,69,81,65,70,109,117,88,96,110,165,211,192,279
FGR,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0
CFH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUCA2,196,90,475,544,454,501,232,674,659,653,551,746,681,532,292,319,416,663,727,558
GCLC,708,490,1153,1796,1576,1570,1306,1880,1798,2570,2363,2316,1953,1777,1542,1257,1445,1334,1585,1609
NFYA,1,1,3,0,0,0,1,3,0,0,0,2,0,1,1,1,0,0,3,0
STPG1,296,214,144,278,219,289,317,204,149,233,254,227,177,123,114,121,107,203,204,240
NIPAL3,1943,1284,1218,1822,1732,1825,1458,2292,2032,2723,2158,2233,1851,1795,1360,1421,1386,1275,1335,1340
LAS1L,194,160,368,259,343,267,151,309,382,363,442,507,470,449,370,497,543,418,528,456
ENPP4,1339,948,702,1623,1253,1843,1503,1481,1278,1695,1164,1270,1221,935,702,614,659,1425,1431,1706
SEMA3F,292,245,320,241,229,486,385,737,650,777,487,455,389,501,464,418,372,156,160,186
CFTR,949,411,2807,975,1289,738,776,1814,2000,1712,2678,2368,2721,2105,506,662,980,654,606,756
ANKIB1,868,620,786,1118,1077,1196,1151,1298,1082,1335,1313,1475,1548,1251,861,972,1157,1692,1589,2033
CYP51A1,8,5,9,41,17,12,15,28,12,21,20,14,14,16,12,17,13,13,15,15
KRIT1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
RAD52,412,375,178,242,248,353,371,195,180,224,263,248,174,253,346,403,391,197,220,225
BAD,175,176,182,113,71,176,105,133,86,83,84,206,174,118,47,64,90,72,97,83
LAP3,200,132,282,353,388,331,204,426,432,397,386,537,384,373,331,371,404,496,444,433
CD99,2448,2124,1993,217,221,313,417,1082,898,1377,1466,1880,1667,1270,3241,2895,3230,2673,4010,3061
HS3ST1,161,128,637,410,332,284,246,657,711,929,745,837,537,525,557,643,821,793,798,834
AOC1,26110,25677,27095,17467,12535,16896,11079,9709,7865,8624,5275,11663,9512,6390,5662,4598,5648,9912,12864,10568
WNT16,0,0,0,2,0,0,0,2,2,0,3,0,0,1,0,2,0,3,2,5
HECW1,0,1,2,0,2,0,0,1,3,0,0,0,1,1,1,1,2,0,0,0
MAD1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LASP1,1947,1356,1716,3264,2547,2987,2650,2628,2119,2635,2328,3165,2492,2203,1872,1740,2211,2280,3108,2630
SNX11,429,368,566,526,471,538,403,469,429,476,414,514,435,412,232,224,360,414,448,408
TMEM176A,1497,1476,1038,359,252,445,240,319,185,214,191,267,243,164,661,419,665,1639,2408,2064
M6PR,693,430,819,719,807,621,402,1080,1063,1048,1127,1608,1530,1409,1073,1197,1366,1522,1633,1672
KLHL13,3,1,18,29,35,18,58,12,13,10,7,27,37,19,107,71,106,116,107,138
